2024-11-24 63.7
2024-11-25 63.7
2024-11-26 64.0
2024-11-27 63.6
2024-11-28 64.2
2024-11-29 63.7
2024-11-30 63.9
2024-12-01 63.9
2024-12-02 63.6
2024-12-03 63.5
2024-12-04 63.5
2024-12-05 63.8
2024-12-06 63.4
2024-12-07 63.9
2024-12-08 63.1
2024-12-09 63.4
2024-12-10 64.0
2024-12-11 63.4
2024-12-12 63.6
2024-12-13 63.5
2024-12-14 63.9
2024-12-15 63.6
2024-12-16 63.5
2024-12-17 63.6
2024-12-18 63.7
2024-12-19 63.9
2024-12-20 64.0
2024-12-21 63.8
2024-12-22 64.1
2024-12-23 63.9
2024-12-24 63.9
2024-12-25 64.0
2024-12-26 64.2
2024-12-27 64.0
2024-12-28 64.3
2024-12-29 63.8
2024-12-30 63.6
2024-12-31 63.5
